osm_way_id,centroid_lat,centroid_lng,bbox_area,levels,height,geocode_type,geocode_class,road,suburb,city,country,collected_at
499328467,51.09415164,71.41508568,9.346064000245418e-08,5.0,15.0,yes,building,Uly Dala Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
499328468,51.09423702,71.41446058,9.698165999883856e-08,5.0,15.0,yes,building,Uly Dala Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
499328469,51.09376486,71.4148374,1.4753183999762233e-07,5.0,15.0,yes,building,Uly Dala Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
499328470,51.093674899999996,71.41376884,1.4431899999712825e-07,5.0,15.0,parking,amenity,28/5 көше көшесі,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
499328471,51.093968100000005,71.41267792222223,6.009511199957663e-07,9.0,27.0,yes,building,Хейдар Әлиев көшесі,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
499328472,51.09411913636364,71.41136705454545,8.760244500007941e-07,9.0,27.0,yes,building,Хейдар Әлиев көшесі,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
499328473,51.096449953846154,71.41297078461538,2.0459334999986847e-06,5.0,15.0,pitch,leisure,Uly Dala Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
499328474,51.09620072727273,71.40889700909091,7.843361699987166e-07,9.0,27.0,yes,building,Uly Dala Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
499328475,51.095383781818185,71.40856530909092,5.654663699998956e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
499328476,51.0946256,71.40829804545454,5.232389000029667e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
499328477,51.096839370588235,71.40968253529411,1.3341861899931208e-06,8.0,24.0,apartments,building,Uly Dala Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
499328478,51.09711610714286,71.40747275714286,1.3074869499995727e-06,8.0,24.0,apartments,building,Uly Dala Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
499328479,51.09648877777778,71.40666551111111,7.001245900091363e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
499328480,51.095622575,71.40632789166666,6.728413399956232e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
499328481,51.09485338461539,71.40599553076923,6.608190799913262e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
499328482,51.09623086363637,71.40764085454545,4.362677800036885e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
499328483,51.095485311111105,71.40732562222223,4.22766540004185e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
499328484,51.09466264545454,71.40707614545454,4.290709499959283e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
499328485,51.09606033333333,71.4098327,6.575830300003034e-07,9.0,27.0,yes,building,Uly Dala Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
499328486,51.09515935384616,71.40951534615384,6.668831599999e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
499328487,51.094455463636365,71.40918029090909,7.221763600004667e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
499328500,51.09386796,71.40619606,1.1038372000139997e-07,9.0,27.0,apartments,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
499328503,51.09155866,71.40774134,1.2735533999720702e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
499328504,51.093622260000004,71.40847634,1.2735534000086917e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
499328505,51.09279856,71.40822154,1.2735534000071853e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
499328506,51.09234876,71.40809014,1.2735534000438068e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
499328507,51.090340659999995,71.40726394,1.2735534000086917e-07,5.0,15.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
499328508,51.09112856,71.40767453999999,1.2735534000086917e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
499328514,51.089019349999994,71.40733159666667,1.5091178699970762e-05,2.0,6.0,clothes,shop,Хейдар Әлиев көшесі,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
506039362,51.0839299,71.41084479999999,1.4934003999799602e-07,0.0,3.0,yes,building,Turar Rysqulov street,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
506039365,51.08352866,71.41066234,6.987371999847803e-08,0.0,3.0,hospital,amenity,Turar Rysqulov street,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
506039369,51.0835349,71.40993475,2.0592959999580277e-08,0.0,3.0,hospital,amenity,Turar Rysqulov street,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
506039378,51.0846672,71.4121708,3.047408000036474e-08,0.0,3.0,hospital,amenity,Turar Rysqulov street,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
509262270,51.09299239999999,71.40891981666667,1.1978335999793784e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
509262271,51.09317145714285,71.40769045714286,1.1443200000422426e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
509262272,51.093445499999994,71.40662151428572,1.235504800004379e-07,9.0,27.0,apartments,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
509262275,51.093658299999994,71.40689078333334,9.685712999927894e-08,9.0,27.0,apartments,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
509262276,51.09318778333333,71.40664003333333,9.26022200040981e-08,9.0,27.0,apartments,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
509262277,51.0929604,71.40745015,1.0610944000202398e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
509262278,51.09342885,71.40767558333333,1.1919113999779989e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
509262279,51.093205366666666,71.40909223333334,1.0509884999795486e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
509262281,51.09198095,71.40862121666667,1.1486394000105596e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
509262282,51.09206387142857,71.4072898,1.017232199988579e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
509262283,51.092202542857144,71.40618538571428,1.049598000012526e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
509262285,51.09195533333334,71.40618026666667,1.0390242000121078e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
509262286,51.09240533333334,71.40641843333333,7.92157600025003e-08,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
509262287,51.09231215,71.40728345000001,1.0783704999991298e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
509262288,51.091863249999996,71.40704723333333,1.0653119999781979e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
509262289,51.09176983333333,71.40843661666666,1.1196961999944576e-07,9.0,27.0,atm,amenity,Хейдар Әлиев көшесі,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
509262297,51.0912979,71.40604693333334,9.727611999805042e-08,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
509262298,51.090785700000005,71.40686474285714,1.1121071999967255e-07,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
509262299,51.09057485,71.4066242,8.171799999899254e-08,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
509262300,51.09103468333333,71.40688406666668,9.69597200012724e-08,9.0,27.0,yes,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
509262301,51.09071705,71.40819069999999,1.1771930000111466e-07,9.0,27.0,apartments,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
509262302,51.09051385,71.40800433333334,1.023249300004682e-07,9.0,27.0,apartments,building,Kabanbay Batyr Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
576604731,51.08356834,71.41735942,6.686676000141239e-08,0.0,3.0,hospital,amenity,Turar Rysqulov street,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
607960215,51.08867058918919,71.41515832702703,5.765139300007947e-07,2.0,6.0,restaurant,amenity,Ақмешіт көшесі,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
607960216,51.08849143846154,71.41659678461538,5.597799600042843e-07,2.0,6.0,office,building,Mangilik El Avenue,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
607960217,51.08918998,71.41743845333333,3.8288976000272235e-07,2.0,6.0,house,place,Turkistan Street,,Astana,Kazakhstan,2026-03-29T14:11:57.440051+00:00
